제주 대분류,제주 중분류,업종명,성별,연령대별, 카드이용금액 , 카드이용건수 
제주시,노형동,의원,남,40대,4618010,244
서귀포시,예래동,슈퍼 마켓,남,40대,2105960,112
서귀포시,성산읍,슈퍼 마켓,여,40대,6931300,369
서귀포시,예래동,스넥,여,20대,5707410,305
제주시,삼도2동,슈퍼 마켓,여,40대,1159860,62
서귀포시,성산읍,스넥,여,30대,5976700,320
제주시,노형동,약국,여,40대,4698440,252
서귀포시,예래동,기타음료식품,남,40대,5093980,275
제주시,이도2동,약국,남,50대,2316800,126
서귀포시,예래동,기타음료식품,여,40대,4315080,235
서귀포시,남원읍,스넥,여,40대,2019600,110
제주시,연동,약국,여,50대,1229880,67
제주시,이도2동,슈퍼 마켓,남,20대,8565790,467
서귀포시,남원읍,슈퍼 마켓,여,40대,2817600,154
제주시,이도2동,의원,여,30대,2338070,128
서귀포시,성산읍,정장(여성),남,20대,273000,15
서귀포시,성산읍,기념품 점,여,50대,1468500,81
서귀포시,성산읍,스넥,여,20대,7972600,440
제주시,이도2동,의원,여,20대,1570900,87
제주시,연동,기념품 점,여,20대,4220500,234
서귀포시,남원읍,슈퍼 마켓,여,50대,1007100,56
제주시,연동,슈퍼 마켓,여,30대,16584190,929
서귀포시,성산읍,의원,여,50대,713000,40
제주시,연동,슈퍼 마켓,남,20대,13123770,744
제주시,연동,스넥,여,30대,10024500,572
제주시,삼도2동,약국,남,20대,436570,25
서귀포시,대륜동,슈퍼 마켓,여,50대,889230,51
제주시,용담2동,기타음료식품,여,30대,1457200,84
제주시,애월읍,슈퍼 마켓,남,30대,14678990,851
서귀포시,남원읍,스넥,남,40대,2413500,140
서귀포시,성산읍,약국,여,50대,823800,48
제주시,애월읍,스넥,여,50대,2102950,123
서귀포시,예래동,슈퍼 마켓,여,30대,374830,22
제주시,연동,슈퍼 마켓,남,50대,13002040,766
서귀포시,성산읍,정장(여성),남,30대,253500,15
제주시,이도2동,약국,여,40대,2394271,142
서귀포시,성산읍,정장(여성),여,30대,320000,19
제주시,연동,스넥,남,30대,9524800,567
제주시,애월읍,슈퍼 마켓,남,40대,15051600,898
제주시,용담2동,의원,여,40대,217200,13
서귀포시,성산읍,슈퍼 마켓,여,30대,6982750,418
서귀포시,남원읍,슈퍼 마켓,남,20대,1518560,91
제주시,삼도2동,스넥,여,20대,231600,14
서귀포시,남원읍,스넥,남,50대,1223300,74
서귀포시,남원읍,기타음료식품,여,50대,195700,12
제주시,연동,의원,남,30대,1106100,68
제주시,용담2동,슈퍼 마켓,여,40대,3529240,217
서귀포시,예래동,기념품 점,남,40대,1236000,76
서귀포시,성산읍,슈퍼 마켓,남,40대,11121870,686
